file,rows,columns
table10_cross_family_transfer.csv,3,4
table11_external_validation.csv,2,4
table12_robustness.csv,4,3
table13_component_ablation.csv,32,5
table14_factor_and_prompt_controls.csv,16,3
table15_configuration_and_backbone_controls.csv,4,3
table16_prototype_intervention.csv,6,3
table17_efficiency_main_setting.csv,6,6
table18_efficiency_reference.csv,3,9
table4_average_benchmark.csv,14,15
table5_controlled_comparison.csv,5,6
table6_pairwise_statistics.csv,4,7
table7_additional_metrics.csv,2,5
table8_univariate_comparison.csv,2,3
table9_within_family_transfer.csv,2,6
table_s1_horizon_wise_results.csv,390,7
table_s1_reported_setting_wins.csv,13,3
