benchmark,model,dataset,pred_len,variant,metric,mean,std,n_seeds
long_term_forecast,ME-LLM,ETTh1,96,full,MSE,0.395,,10
long_term_forecast,ME-LLM,ETTh1,96,full,MAE,0.407,,10
long_term_forecast,ME-LLM,ETTh1,192,full,MSE,0.423,,10
long_term_forecast,ME-LLM,ETTh1,192,full,MAE,0.425,,10
long_term_forecast,ME-LLM,ETTh1,336,full,MSE,0.454,,10
long_term_forecast,ME-LLM,ETTh1,336,full,MAE,0.463,,10
long_term_forecast,ME-LLM,ETTh1,720,full,MSE,0.463,,10
long_term_forecast,ME-LLM,ETTh1,720,full,MAE,0.472,,10
long_term_forecast,ME-LLM,ETTh2,96,full,MSE,0.302,,10
long_term_forecast,ME-LLM,ETTh2,96,full,MAE,0.349,,10
long_term_forecast,ME-LLM,ETTh2,192,full,MSE,0.379,,10
long_term_forecast,ME-LLM,ETTh2,192,full,MAE,0.396,,10
long_term_forecast,ME-LLM,ETTh2,336,full,MSE,0.396,,10
long_term_forecast,ME-LLM,ETTh2,336,full,MAE,0.427,,10
long_term_forecast,ME-LLM,ETTh2,720,full,MSE,0.402,,10
long_term_forecast,ME-LLM,ETTh2,720,full,MAE,0.436,,10
long_term_forecast,ME-LLM,ETTm1,96,full,MSE,0.302,,10
long_term_forecast,ME-LLM,ETTm1,96,full,MAE,0.348,,10
long_term_forecast,ME-LLM,ETTm1,192,full,MSE,0.346,,10
long_term_forecast,ME-LLM,ETTm1,192,full,MAE,0.375,,10
long_term_forecast,ME-LLM,ETTm1,336,full,MSE,0.363,,10
long_term_forecast,ME-LLM,ETTm1,336,full,MAE,0.399,,10
long_term_forecast,ME-LLM,ETTm1,720,full,MSE,0.439,,10
long_term_forecast,ME-LLM,ETTm1,720,full,MAE,0.441,,10
long_term_forecast,ME-LLM,ETTm2,96,full,MSE,0.187,,10
long_term_forecast,ME-LLM,ETTm2,96,full,MAE,0.273,,10
long_term_forecast,ME-LLM,ETTm2,192,full,MSE,0.251,,10
long_term_forecast,ME-LLM,ETTm2,192,full,MAE,0.312,,10
long_term_forecast,ME-LLM,ETTm2,336,full,MSE,0.319,,10
long_term_forecast,ME-LLM,ETTm2,336,full,MAE,0.357,,10
long_term_forecast,ME-LLM,ETTm2,720,full,MSE,0.365,,10
long_term_forecast,ME-LLM,ETTm2,720,full,MAE,0.391,,10
long_term_forecast,ME-LLM,Weather,96,full,MSE,0.175,,10
long_term_forecast,ME-LLM,Weather,96,full,MAE,0.201,,10
long_term_forecast,ME-LLM,Weather,192,full,MSE,0.217,,10
long_term_forecast,ME-LLM,Weather,192,full,MAE,0.251,,10
long_term_forecast,ME-LLM,Weather,336,full,MSE,0.262,,10
long_term_forecast,ME-LLM,Weather,336,full,MAE,0.279,,10
long_term_forecast,ME-LLM,Weather,720,full,MSE,0.346,,10
long_term_forecast,ME-LLM,Weather,720,full,MAE,0.352,,10
long_term_forecast,ME-LLM,Traffic,96,full,MSE,0.403,,10
long_term_forecast,ME-LLM,Traffic,96,full,MAE,0.276,,10
long_term_forecast,ME-LLM,Traffic,192,full,MSE,0.415,,10
long_term_forecast,ME-LLM,Traffic,192,full,MAE,0.289,,10
