dataset,pred_len,metric,mean,std
ETTh1,96,MSE,0.395,
ETTh1,96,MAE,0.407,
ETTh1,192,MSE,0.423,
ETTh1,192,MAE,0.425,
ETTh1,336,MSE,0.454,
ETTh1,336,MAE,0.463,
ETTh1,720,MSE,0.463,
ETTh1,720,MAE,0.472,
ETTh2,96,MSE,0.302,
ETTh2,96,MAE,0.349,
ETTh2,192,MSE,0.379,
ETTh2,192,MAE,0.396,
ETTh2,336,MSE,0.396,
ETTh2,336,MAE,0.427,
ETTh2,720,MSE,0.402,
ETTh2,720,MAE,0.436,
ETTm1,96,MSE,0.302,
ETTm1,96,MAE,0.348,
ETTm1,192,MSE,0.346,
ETTm1,192,MAE,0.375,
ETTm1,336,MSE,0.363,
ETTm1,336,MAE,0.399,
ETTm1,720,MSE,0.439,
ETTm1,720,MAE,0.441,
ETTm2,96,MSE,0.187,
ETTm2,96,MAE,0.273,
ETTm2,192,MSE,0.251,
ETTm2,192,MAE,0.312,
ETTm2,336,MSE,0.319,
ETTm2,336,MAE,0.357,
ETTm2,720,MSE,0.365,
ETTm2,720,MAE,0.391,
Weather,96,MSE,0.175,
Weather,96,MAE,0.201,
Weather,192,MSE,0.217,
Weather,192,MAE,0.251,
Weather,336,MSE,0.262,
Weather,336,MAE,0.279,
Weather,720,MSE,0.346,
Weather,720,MAE,0.352,
Traffic,96,MSE,0.403,
Traffic,96,MAE,0.276,
Traffic,192,MSE,0.415,
Traffic,192,MAE,0.289,
Traffic,336,MSE,0.421,
Traffic,336,MAE,0.29,
Traffic,720,MSE,0.432,
Traffic,720,MAE,0.295,
