dataset,horizon,variant,MSE,MAE
ETTh1,96,Full Model,0.395,0.407
ETTh1,96,w/o Prompt,0.405,0.414
ETTh1,96,w/o LLM,0.396,0.409
ETTh1,96,w/o Semantic Branch,0.413,0.431
ETTh1,192,Full Model,0.423,0.425
ETTh1,192,w/o Prompt,0.482,0.453
ETTh1,192,w/o LLM,0.455,0.447
ETTh1,192,w/o Semantic Branch,0.454,0.46
ETTh1,336,Full Model,0.454,0.463
ETTh1,336,w/o Prompt,0.501,0.479
ETTh1,336,w/o LLM,0.492,0.503
ETTh1,336,w/o Semantic Branch,0.514,0.454
ETTh1,720,Full Model,0.463,0.472
ETTh1,720,w/o Prompt,0.554,0.512
ETTh1,720,w/o LLM,0.563,0.525
ETTh1,720,w/o Semantic Branch,0.532,0.512
ETTh2,96,Full Model,0.302,0.349
ETTh2,96,w/o Prompt,0.311,0.352
ETTh2,96,w/o LLM,0.305,0.356
ETTh2,96,w/o Semantic Branch,0.324,0.379
ETTh2,192,Full Model,0.379,0.396
ETTh2,192,w/o Prompt,0.383,0.405
ETTh2,192,w/o LLM,0.381,0.397
ETTh2,192,w/o Semantic Branch,0.38,0.403
ETTh2,336,Full Model,0.396,0.427
ETTh2,336,w/o Prompt,0.41,0.432
ETTh2,336,w/o LLM,0.415,0.437
ETTh2,336,w/o Semantic Branch,0.405,0.429
ETTh2,720,Full Model,0.402,0.436
ETTh2,720,w/o Prompt,0.415,0.443
ETTh2,720,w/o LLM,0.453,0.472
ETTh2,720,w/o Semantic Branch,0.475,0.486
